bus_route_no,bus_route_nm
401,401번(장지공영차고지~서울역)
3422,3422번(장지공영차고지~강남역)
2311,2311번(중랑차고지~문정동)
N13,N13번(송파공영차고지~상계동차고지)
강동01,강동01(길동신동아아파트~강변역)
강동01,강동01(명일동한양아파트~강변역)
3220,3220번(오금동~청량리)
3319,3319(장지공영차고지~잠실역)
4425,4425번(상대원차고지~삼성역)
3321,3321번(강동차고지~강동구청)
송파03,송파03(수서역~석촌고분역)
N31,N31강동 (강동공영차고지~국민대)
3316,3316번(마천동~천호역)
3417,3417번(장지공영차고지~삼성역)
4318,4318번(사당동출발.사당동~풍납동)
3416,3416번(마천역~세곡리엔파크2단지)
350,350번(송파공영차고지~노들역)
302,302번(성남~동대문)
N31,N31정릉 (국민대~강동공영차고지)
송파02,송파02(송파파인타운1단지~수서역)
3217,3217번(송파차고지~어린이대공원)
N37,N37번(진관공영차고지~송파공영차고지)
362,362번(송파공영차고지~여의도)
341,341번(강동공영차고지~우면동)
3425,3425번(송파차고지~삼성역)
301,301번(장지공영차고지~혜화동)
345,345번(송파차고지~구반포역)
343,343번(송파차고지~수서역)
461,461번(장지공영차고지~여의도)
8331,8331번(마천사거리~잠실역)
402,402번(장지공영차고지~광화문)
송파01,송파01(송파호반베르디움더퍼스트~석촌역)
3012,3012번(송파차고지~동부이촌동)
2415,2415번(자양동~대치동)
N32,N32번(송파공영차고지~신설동역)
320,320번(송파차고지~상봉터미널)
4419,4419번(송파차고지~압구정역)
3214,3214번(마천동~강변역)
N73,N73송파 (송파공영차고지~구산동차고지)
N73,N73구산 (구산동차고지~송파공영차고지)
9403,9403번(구미동차고지~중곡역)
3412,3412번(강동공영차고지~강남역)
361,361번(송파차고지~여의도)
4318,4318번(풍납동출발.풍납동~사당동)
강남05,강남05(구룡마을~석촌역)
3011,3011번(장지공영차고지~한남동)
3413,3413번(강일동공영차고지~수서경찰서)
N34,N34번(강동공영차고지~신사역)
440,440번(송파공영차고지~압구정동)
N37,N37번(송파공영차고지~진관공영차고지)
N13,N13번(상계동차고지~송파공영차고지)
4312,4312번(개포동~가락1동주민센터)
2412,2412번(성수동~세곡동사거리)
3422,3422번(장지공영차고지~한티역)
303,303번(성남~신설동)
342,342번(강동차고지~압구정로데오역)
452,452번(송파차고지~중대병원)
9403,9403번(성남분당~을지로5가)
3420,3420번(복정역환승센터~구반포역)
360,360번(송파차고지~여의도)
3414,3414번(오금동~고속터미널)
3426,3426번(서울버스종점~청담동)
4319,4319번(전원마을~잠실역)
340,340번(강동차고지~무지개아파트)
3315,3315번(마천동~송파구민회관)
3318,3318번(강동차고지~미사강변도시~마천동)
3322,3322번(송파차고지~잠실종합운동장)
3313,3313번(복정역~잠실새내역)
333,333번(송파차고지~올림픽공원)
3317,3317(남한산성입구~잠실새내역)
3314,3314번(마천동~종합운동장)
3411,3411번(강동공영차고지~삼성역)
3216,3216번(오금동~경희의료원)
3212,3212번(강동공영차고지~강변역)
