bsst_ars_no,bus_sta_nm,gu,dong
24000,송파공영차고지입구,송파구,장지동
24001,잠실역.잠실대교.남단,송파구,신천동
24002,잠실역.잠실대교.남단,송파구,잠실동
24003,석촌호수.한솔병원,송파구,송파동
24004,석촌호수.한솔병원,송파구,석촌동
24005,석촌역,송파구,송파동
24006,석촌역,송파구,석촌동
24007,송파역,송파구,가락동
24008,송파역,송파구,석촌동
24009,가락시장.가락시장역,송파구,가락동
24010,가락시장.가락시장역,송파구,가락동
24011,문정로데오거리입구,송파구,문정동
24012,문정로데오거리입구,송파구,문정동
24013,문정법조단지.건영아파트,송파구,문정동
24014,문정법조단지.건영아파트,송파구,문정동
24015,장지역.가든파이브,송파구,장지동
24016,장지역.가든파이브,송파구,문정동
24017,잠실역.롯데월드몰,송파구,신천동
24050,잠실광역환승센터,송파구,잠실동
24101,천호역.풍납시장,송파구,풍납동
24102,풍납1치안센터입구,송파구,풍납동
24103,파크데일아파트2단지앞,송파구,마천동
24104,파크데일아파트1단지앞,송파구,마천동
24105,풍납1동동아한가람아파트,송파구,풍납동
24106,풍납동신성노바빌,송파구,풍납동
24107,풍납동씨티극동아파트,송파구,풍납동
24108,풍납토성,송파구,풍납동
24109,영파여고.강동구청역,송파구,풍납동
24110,풍납동극동.쌍용아파트,송파구,풍납동
24111,풍납중학교,송파구,풍납동
24112,풍성중학교.잠실올림픽아이파크,송파구,풍납동
24113,울산대학교의과대학,송파구,풍납동
24114,서울아산병원동관,송파구,풍납동
24115,서울아산병원동관,송파구,풍납동
24116,풍납토성서성벽,송파구,풍납동
24117,송파두산위브.송파소방서,송파구,오금동
24118,송파두산위브.송파소방서,송파구,마천동
24119,토성초등학교.현대리버빌아파트,송파구,풍납동
24120,풍납동영어체험마을,송파구,풍납동
24121,올림픽대교남단,송파구,풍납동
24122,마천역.송파파크센트럴,송파구,거여동
24123,잠실파크리오아파트상가.올림픽회관,송파구,신천동
24124,잠실파크리오아파트앞,송파구,신천동
24125,잠실나루역,송파구,신천동
24126,잠실진주아파트,송파구,신천동
24127,몽촌토성역,송파구,신천동
24128,신천동진주아파트,송파구,신천동
24129,잠실나루역,송파구,신천동
24130,잠실중학교.장미종합상가,송파구,신천동
24131,잠실중학교,송파구,신천동
24132,잠실역8번출구,송파구,신천동
24133,잠실역,송파구,신천동
24134,잠실역1번.11번출구,송파구,신천동
24135,잠실역9번출구,송파구,신천동
24136,송파구청.방이맛골,송파구,방이동
24137,잠실역,송파구,잠실동
24138,잠실역.롯데월드,송파구,잠실동
24139,잠실5단지,송파구,잠실동
24140,잠실리센츠아파트앞,송파구,잠실동
24141,잠실새내역.잠실2동주민센터,송파구,잠실동
24142,잠실엘스아파트앞,송파구,잠실동
24143,종합운동장사거리,송파구,잠실동
24144,잠실종합운동장,송파구,잠실동
24145,잠실트리지움아파트앞,송파구,잠실동
24146,잠실역.롯데월드,송파구,잠실동
24147,갤러리아팰리스,송파구,잠실동
24148,잠실트리지움,송파구,잠실동
24149,영동일고레이크팰리스앞,송파구,잠실동
24150,영동일고트리지움APT정문앞,송파구,잠실동
24151,위례포레샤인15단지,송파구,거여동
24152,잠실트리지움,송파구,잠실동
24153,잠실119안전센터,송파구,잠실동
24154,잠실종합운동장,송파구,잠실동
24155,아시아선수촌아파트,송파구,잠실동
24156,아주중학교,송파구,잠실동
24157,종합운동장사거리,송파구,잠실동
24158,잠실새내역4번출구,송파구,잠실동
24159,영빌딩앞,송파구,잠실동
24160,잠실우성4차현대아파트,송파구,잠실동
24161,잠실우성4차현대아파트,송파구,잠실동
24162,잠실근린공원.성현교회,송파구,잠실동
24163,아시아선수촌아파트삼거리.성현교회,송파구,잠실동
24164,아시아선수촌아파트,송파구,잠실동
24165,아주중학교,송파구,잠실동
24166,삼전역,송파구,삼전동
24167,삼전역,송파구,삼전동
24168,송파구민회관구의회,송파구,삼전동
24169,송파구민회관구의회,송파구,삼전동
24170,삼학사길사거리,송파구,삼전동
24171,잠실119안전센터,송파구,삼전동
24172,삼전삼밭나루공원입구,송파구,삼전동
24173,삼전역.잠실현대아파트,송파구,삼전동
24174,삼전동현대APT,송파구,삼전동
24175,삼전동쌍용하이츠빌라,송파구,삼전동
24176,삼전사회복지관,송파구,삼전동
24177,배명중고교,송파구,삼전동
24178,석촌고분역.올림픽병원,송파구,석촌동
24179,석촌고분역.올림픽병원,송파구,석촌동
24180,석촌동한솔아파트앞,송파구,석촌동
24181,석촌동한솔아파트,송파구,석촌동
24182,호반써밋송파2차정문,송파구,거여동
24183,삼학사길사거리,송파구,석촌동
24184,배명중고교,송파구,석촌동
24185,석촌동남현교회앞,송파구,석촌동
24186,석촌동남현교회앞,송파구,석촌동
24187,송파책박물관.헬리오시티,송파구,석촌동
24188,송파책박물관.헬리오시티,송파구,석촌동
24189,송파사거리.석촌시장,송파구,석촌동
24190,송파사거리,송파구,석촌동
24191,송파역.헬리오시티,송파구,석촌동
24192,위례포레샤인13단지공원,송파구,거여동
24193,송파여성문화회관,송파구,송파동
24194,송파여성문화회관,송파구,송파동
24195,송파초등학교.송파동성당,송파구,송파동
24196,송파초등학교.송파동성당,송파구,송파동
24197,방이동사거리,송파구,송파동
24198,포레나송파후문,송파구,거여동
24199,송파나루역,송파구,송파동
24200,송파2동한양아파트,송파구,송파동
24201,송파동한양1차아파트,송파구,송파동
24202,서울방이동고분군,송파구,송파동
24203,송파역,송파구,가락동
24204,성지아파트,송파구,송파동
24205,송파동삼익아파트,송파구,송파동
24206,삼익아파트미성아파트,송파구,송파동
24207,송파2동한양삼성아파트,송파구,송파동
24208,한양공원,송파구,송파동
24209,잠실여고후문,송파구,송파동
24210,방이중학교,송파구,방이동
24211,한성백제역,송파구,방이동
24212,송파나루역.방이시장,송파구,방이동
24213,송파나루역.방이시장,송파구,방이동
24214,송파나루역,송파구,방이동
24215,송파구청.방이맛골,송파구,방이동
24216,잠실진주아파트,송파구,방이동
24217,올림픽베어스타운아파트앞,송파구,방이동
24218,방이초등학교,송파구,방이동
24219,방이시장입구,송파구,방이동
24220,방이우체국,송파구,방이동
24221,올림픽공원남2문,송파구,방이동
24222,올림픽공원장미광장,송파구,방이동
24223,방이역3번출구대림아파트,송파구,방이동
24224,한양삼익아파트,송파구,방이동
24225,방이시장입구,송파구,방이동
24226,방이초등학교,송파구,방이동
24227,신구블레스밸리앞,송파구,방이동
24228,신구블레스밸리,송파구,방이동
24229,방이동대림코오롱아파트,송파구,방이동
24230,방이동대림코오롱아파트,송파구,방이동
24231,올림픽회관,송파구,방이동
24232,풍납동극동.쌍용아파트,송파구,방이동
24233,한성백제박물관,송파구,방이동
24234,서울체육중.고등학교,송파구,방이동
24235,둔촌오륜역.서문교회,송파구,방이동
24236,서하남IC입구,송파구,방이동
24237,효죽동입구,송파구,방이동
24238,포레나송파정문,송파구,거여동
24239,올림픽공원장미광장,송파구,방이동
24240,올림픽공원남2문,송파구,방이동
24241,몽촌토성역.한성백제역,송파구,방이동
24242,보성중고등학교,송파구,방이동
24243,보성중고등학교,송파구,방이동
24244,올림픽공원역,송파구,방이동
24245,올림픽공원역,송파구,방이동
24246,올림픽공원테니스장,송파구,방이동
24247,올림픽선수촌아파트,송파구,방이동
24248,방이역,송파구,오금동
24249,오금동현대아파트,송파구,오금동
24250,오금공원앞,송파구,오금동
24251,오금동상아아파트,송파구,오금동
24252,보인고교.오금동삼성아파트,송파구,오금동
24253,송파사회복지관.성요셉성당,송파구,오금동
24254,거여초등학교,송파구,오금동
24255,거여초등학교,송파구,오금동
24256,송파참병원,송파구,오금동
24257,송파참병원,송파구,오금동
24258,신흥운수입구,송파구,오금동
